"mturk_worker_id","template_name","nanotask_id","id","value","time_created","name","ticket_id"
"A250FES5PFCGK9","pre_survey","1644","7749",,"2019-04-04 20:32:59.248855","dur_end_sec","10192"
"A250FES5PFCGK9","pre_survey","1644","7750","3","2019-04-04 20:32:59.274013","worker_years","10192"
"A250FES5PFCGK9","pre_survey","1644","7751","4","2019-04-04 20:32:59.299058","worker_hours","10192"
"A3LJ2FHESYV9QQ","pre_survey","1644","8483","no","2019-04-04 20:54:03.992198","dur_pref","10193"
"A3LJ2FHESYV9QQ","pre_survey","1644","8484",,"2019-04-04 20:54:04.025186","dur_start_min","10193"
"A3LJ2FHESYV9QQ","pre_survey","1644","8485",,"2019-04-04 20:54:04.058628","dur_start_sec","10193"
"A3LJ2FHESYV9QQ","pre_survey","1644","8486",,"2019-04-04 20:54:04.092084","dur_end_min","10193"
"A3LJ2FHESYV9QQ","pre_survey","1644","8487",,"2019-04-04 20:54:04.125338","dur_end_sec","10193"
"A3LJ2FHESYV9QQ","pre_survey","1644","8488","3","2019-04-04 20:54:04.158761","worker_years","10193"
"A3LJ2FHESYV9QQ","pre_survey","1644","8489","4","2019-04-04 20:54:04.192386","worker_hours","10193"
"A1ILD5BPLI8X1P","pre_survey","1645","8223","no","2019-04-04 20:45:38.200828","dur_pref","10195"
"A1ILD5BPLI8X1P","pre_survey","1645","8224",,"2019-04-04 20:45:38.233771","dur_start_min","10195"
"A1ILD5BPLI8X1P","pre_survey","1645","8225",,"2019-04-04 20:45:38.267320","dur_start_sec","10195"
"A1ILD5BPLI8X1P","pre_survey","1645","8226",,"2019-04-04 20:45:38.325985","dur_end_min","10195"
"A1ILD5BPLI8X1P","pre_survey","1645","8227",,"2019-04-04 20:45:38.359387","dur_end_sec","10195"
"A1ILD5BPLI8X1P","pre_survey","1645","8228","0","2019-04-04 20:45:38.392704","worker_years","10195"
"A1ILD5BPLI8X1P","pre_survey","1645","8229","4","2019-04-04 20:45:38.434857","worker_hours","10195"
"A5ZY0QRQWZQ7G","pre_survey","1645","8416","yes","2019-04-04 20:51:48.983821","dur_pref","10196"
"A5ZY0QRQWZQ7G","pre_survey","1645","8417","20","2019-04-04 20:51:49.016805","dur_start_min","10196"
"A5ZY0QRQWZQ7G","pre_survey","1645","8418","30","2019-04-04 20:51:49.050214","dur_start_sec","10196"
"A5ZY0QRQWZQ7G","pre_survey","1645","8419","10","2019-04-04 20:51:49.083653","dur_end_min","10196"
"A5ZY0QRQWZQ7G","pre_survey","1645","8420","50","2019-04-04 20:51:49.117098","dur_end_sec","10196"
"A5ZY0QRQWZQ7G","pre_survey","1645","8421","2","2019-04-04 20:51:49.150535","worker_years","10196"
"A5ZY0QRQWZQ7G","pre_survey","1645","8422","7","2019-04-04 20:51:49.183952","worker_hours","10196"
"A2Z4JNZ06GGQIP","pre_survey","1645","8646","yes","2019-04-04 20:56:18.782242","dur_pref","10197"
"A2Z4JNZ06GGQIP","pre_survey","1645","8647","1","2019-04-04 20:56:18.814710","dur_start_min","10197"
"A2Z4JNZ06GGQIP","pre_survey","1645","8648","1","2019-04-04 20:56:18.848081","dur_start_sec","10197"
"A2Z4JNZ06GGQIP","pre_survey","1645","8649","2","2019-04-04 20:56:18.881499","dur_end_min","10197"
"A2Z4JNZ06GGQIP","pre_survey","1645","8650","5","2019-04-04 20:56:18.906724","dur_end_sec","10197"
"A2Z4JNZ06GGQIP","pre_survey","1645","8651","1","2019-04-04 20:56:18.940116","worker_years","10197"
"A2Z4JNZ06GGQIP","pre_survey","1645","8652","1","2019-04-04 20:56:18.965210","worker_hours","10197"
"A39BE8IWST2EY6","pre_survey","1645","9187","no","2019-04-04 21:17:02.917686","dur_pref","10199"
"A39BE8IWST2EY6","pre_survey","1645","9188",,"2019-04-04 21:17:02.958411","dur_start_min","10199"
"A39BE8IWST2EY6","pre_survey","1645","9189",,"2019-04-04 21:17:02.991792","dur_start_sec","10199"
"A39BE8IWST2EY6","pre_survey","1645","9190",,"2019-04-04 21:17:03.025400","dur_end_min","10199"
"A39BE8IWST2EY6","pre_survey","1645","9191",,"2019-04-04 21:17:03.058861","dur_end_sec","10199"
"A39BE8IWST2EY6","pre_survey","1645","9192","3","2019-04-04 21:17:03.092259","worker_years","10199"
"A39BE8IWST2EY6","pre_survey","1645","9193","7","2019-04-04 21:17:03.125664","worker_hours","10199"
"A1VJ6JU89HP7MC","pre_survey","1645","9311","yes","2019-04-04 21:20:26.171194","dur_pref","10201"
"A1VJ6JU89HP7MC","pre_survey","1645","9312","3","2019-04-04 21:20:26.203825","dur_start_min","10201"
"A1VJ6JU89HP7MC","pre_survey","1645","9313","5","2019-04-04 21:20:26.237299","dur_start_sec","10201"
"A1VJ6JU89HP7MC","pre_survey","1645","9314","2","2019-04-04 21:20:26.270564","dur_end_min","10201"
"A1VJ6JU89HP7MC","pre_survey","1645","9315","10","2019-04-04 21:20:26.304161","dur_end_sec","10201"
"A1VJ6JU89HP7MC","pre_survey","1645","9316","4","2019-04-04 21:20:26.337593","worker_years","10201"
"A1VJ6JU89HP7MC","pre_survey","1645","9317","10","2019-04-04 21:20:26.371046","worker_hours","10201"
"AFUUPNBIKHRFZ","pre_survey","1645","9802","yes","2019-04-04 21:33:41.178894","dur_pref","10202"
"AFUUPNBIKHRFZ","pre_survey","1645","9803","5","2019-04-04 21:33:41.211259","dur_start_min","10202"
"AFUUPNBIKHRFZ","pre_survey","1645","9804","0","2019-04-04 21:33:41.236315","dur_start_sec","10202"
"AFUUPNBIKHRFZ","pre_survey","1645","9805","7","2019-04-04 21:33:41.303330","dur_end_min","10202"
"AFUUPNBIKHRFZ","pre_survey","1645","9806","0","2019-04-04 21:33:41.328520","dur_end_sec","10202"
"AFUUPNBIKHRFZ","pre_survey","1645","9807","3","2019-04-04 21:33:41.353601","worker_years","10202"
"AFUUPNBIKHRFZ","pre_survey","1645","9808","10","2019-04-04 21:33:41.378644","worker_hours","10202"
"A26W4V36I6LJZJ","pre_survey","1645","9690","yes","2019-04-04 21:30:01.860450","dur_pref","10203"
"A26W4V36I6LJZJ","pre_survey","1645","9691","5","2019-04-04 21:30:01.892729","dur_start_min","10203"
"A26W4V36I6LJZJ","pre_survey","1645","9692","00","2019-04-04 21:30:01.951302","dur_start_sec","10203"
"A26W4V36I6LJZJ","pre_survey","1645","9693","7","2019-04-04 21:30:01.992955","dur_end_min","10203"
"A26W4V36I6LJZJ","pre_survey","1645","9694","00","2019-04-04 21:30:02.026250","dur_end_sec","10203"
"A26W4V36I6LJZJ","pre_survey","1645","9695","1","2019-04-04 21:30:02.059764","worker_years","10203"
"A26W4V36I6LJZJ","pre_survey","1645","9696","30","2019-04-04 21:30:02.093222","worker_hours","10203"
"A2YOVBJ9EXAI8W","pre_survey","1646","10281","no","2019-04-04 23:32:03.331793","dur_pref","10209"
"A2YOVBJ9EXAI8W","pre_survey","1646","10282",,"2019-04-04 23:32:03.364850","dur_start_min","10209"
"A2YOVBJ9EXAI8W","pre_survey","1646","10283",,"2019-04-04 23:32:03.398464","dur_start_sec","10209"
"A2YOVBJ9EXAI8W","pre_survey","1646","10284",,"2019-04-04 23:32:03.431809","dur_end_min","10209"
"A2YOVBJ9EXAI8W","pre_survey","1646","10285",,"2019-04-04 23:32:03.465209","dur_end_sec","10209"
"A2YOVBJ9EXAI8W","pre_survey","1646","10286","4","2019-04-04 23:32:03.498662","worker_years","10209"
"A2YOVBJ9EXAI8W","pre_survey","1646","10287","4","2019-04-04 23:32:03.532101","worker_hours","10209"
"A1DNJ17PE2RYJZ","pre_survey","1646","10261","yes","2019-04-04 22:54:47.397435","dur_pref","10210"
"A1DNJ17PE2RYJZ","pre_survey","1646","10262","3","2019-04-04 22:54:47.430010","dur_start_min","10210"
"A1DNJ17PE2RYJZ","pre_survey","1646","10263","0","2019-04-04 22:54:47.463538","dur_start_sec","10210"
"A1DNJ17PE2RYJZ","pre_survey","1646","10264","15","2019-04-04 22:54:47.496913","dur_end_min","10210"
"A1DNJ17PE2RYJZ","pre_survey","1646","10265","0","2019-04-04 22:54:47.530363","dur_end_sec","10210"
"A1DNJ17PE2RYJZ","pre_survey","1646","10266","5","2019-04-04 22:54:47.563744","worker_years","10210"
"A1DNJ17PE2RYJZ","pre_survey","1646","10267","7","2019-04-04 22:54:47.597185","worker_hours","10210"
"A3HMHRJA0KACV5","pre_survey","1646","10251","yes","2019-04-04 21:53:26.310897","dur_pref","10211"
"A3HMHRJA0KACV5","pre_survey","1646","10252","5","2019-04-04 21:53:26.343874","dur_start_min","10211"
"A3HMHRJA0KACV5","pre_survey","1646","10253","0","2019-04-04 21:53:26.377045","dur_start_sec","10211"
"A3HMHRJA0KACV5","pre_survey","1646","10254","7","2019-04-04 21:53:26.418981","dur_end_min","10211"
"A3HMHRJA0KACV5","pre_survey","1646","10255","1","2019-04-04 21:53:26.460926","dur_end_sec","10211"
"A3HMHRJA0KACV5","pre_survey","1646","10256","5","2019-04-04 21:53:26.494400","worker_years","10211"
"A3HMHRJA0KACV5","pre_survey","1646","10257","8","2019-04-04 21:53:26.527789","worker_hours","10211"
"fdafsaa","pre_survey","1646","10271","yes","2019-04-04 23:30:33.057943","dur_pref","10212"
"fdafsaa","pre_survey","1646","10272","1","2019-04-04 23:30:33.082502","dur_start_min","10212"
"fdafsaa","pre_survey","1646","10273","1","2019-04-04 23:30:33.107613","dur_start_sec","10212"
"fdafsaa","pre_survey","1646","10274","1","2019-04-04 23:30:33.132586","dur_end_min","10212"
"fdafsaa","pre_survey","1646","10275","1","2019-04-04 23:30:33.157854","dur_end_sec","10212"
"fdafsaa","pre_survey","1646","10276","1","2019-04-04 23:30:33.182933","worker_years","10212"
"fdafsaa","pre_survey","1646","10277","1","2019-04-04 23:30:33.207868","worker_hours","10212"
"AL83KKXUORS9Y","pre_survey","1646","10299","yes","2019-04-05 00:30:41.854333","dur_pref","10213"
"AL83KKXUORS9Y","pre_survey","1646","10300","5","2019-04-05 00:30:41.887131","dur_start_min","10213"
"AL83KKXUORS9Y","pre_survey","1646","10301","0","2019-04-05 00:30:41.928937","dur_start_sec","10213"
"AL83KKXUORS9Y","pre_survey","1646","10302","15","2019-04-05 00:30:41.962368","dur_end_min","10213"
"AL83KKXUORS9Y","pre_survey","1646","10303","0","2019-04-05 00:30:41.995787","dur_end_sec","10213"
"AL83KKXUORS9Y","pre_survey","1646","10304","3","2019-04-05 00:30:42.029155","worker_years","10213"
"AL83KKXUORS9Y","pre_survey","1646","10305","3","2019-04-05 00:30:42.062632","worker_hours","10213"
"A3M0LH8L12FR9N","pre_survey","1646","10561","yes","2019-04-05 00:35:11.915599","dur_pref","10214"
"A3M0LH8L12FR9N","pre_survey","1646","10562","115","2019-04-05 00:35:11.973732","dur_start_min","10214"
"A3M0LH8L12FR9N","pre_survey","1646","10563","4","2019-04-05 00:35:12.007127","dur_start_sec","10214"
"A3M0LH8L12FR9N","pre_survey","1646","10564","4","2019-04-05 00:35:12.040348","dur_end_min","10214"
"A3M0LH8L12FR9N","pre_survey","1646","10565","7","2019-04-05 00:35:12.074030","dur_end_sec","10214"
"A3M0LH8L12FR9N","pre_survey","1646","10566","10","2019-04-05 00:35:12.107431","worker_years","10214"
"A3M0LH8L12FR9N","pre_survey","1646","10567","8","2019-04-05 00:35:12.140846","worker_hours","10214"
"A3PKRE6BMAAJB1","pre_survey","1647","9923","yes","2019-04-04 21:39:30.013082","dur_pref","10216"
"A3PKRE6BMAAJB1","pre_survey","1647","9924","5","2019-04-04 21:39:30.046085","dur_start_min","10216"
"A3PKRE6BMAAJB1","pre_survey","1647","9925","0","2019-04-04 21:39:30.079532","dur_start_sec","10216"
"A3PKRE6BMAAJB1","pre_survey","1647","9926","7","2019-04-04 21:39:30.112949","dur_end_min","10216"
"A3PKRE6BMAAJB1","pre_survey","1647","9927","0","2019-04-04 21:39:30.146416","dur_end_sec","10216"
"A3PKRE6BMAAJB1","pre_survey","1647","9928","7","2019-04-04 21:39:30.179851","worker_years","10216"
"A3PKRE6BMAAJB1","pre_survey","1647","9929","5","2019-04-04 21:39:30.213283","worker_hours","10216"
"AXJ1PE87PD0KK","pre_survey","1647","10851","no","2019-04-05 01:02:18.068721","dur_pref","10217"
"AXJ1PE87PD0KK","pre_survey","1647","10852",,"2019-04-05 01:02:18.101605","dur_start_min","10217"
"AXJ1PE87PD0KK","pre_survey","1647","10853",,"2019-04-05 01:02:18.135009","dur_start_sec","10217"
"AXJ1PE87PD0KK","pre_survey","1647","10854",,"2019-04-05 01:02:18.168365","dur_end_min","10217"
"AXJ1PE87PD0KK","pre_survey","1647","10855",,"2019-04-05 01:02:18.201669","dur_end_sec","10217"
"AXJ1PE87PD0KK","pre_survey","1647","10856","2","2019-04-05 01:02:18.235364","worker_years","10217"
"AXJ1PE87PD0KK","pre_survey","1647","10857","3","2019-04-05 01:02:18.268760","worker_hours","10217"
"A17S0A0GHP6F08","pre_survey","1647","11160","yes","2019-04-05 01:17:55.760605","dur_pref","10220"
"A17S0A0GHP6F08","pre_survey","1647","11161","10","2019-04-05 01:17:55.793589","dur_start_min","10220"
"A17S0A0GHP6F08","pre_survey","1647","11162","50","2019-04-05 01:17:55.827151","dur_start_sec","10220"
"A17S0A0GHP6F08","pre_survey","1647","11163","10","2019-04-05 01:17:55.860637","dur_end_min","10220"
"A17S0A0GHP6F08","pre_survey","1647","11164","5","2019-04-05 01:17:55.894210","dur_end_sec","10220"
"A17S0A0GHP6F08","pre_survey","1647","11165","4","2019-04-05 01:17:55.936108","worker_years","10220"
"A17S0A0GHP6F08","pre_survey","1647","11166","40","2019-04-05 01:17:55.969250","worker_hours","10220"
"A20SXG1DHDIDI7","pre_survey","1647","11176","no","2019-04-05 01:19:33.239889","dur_pref","10221"
"A20SXG1DHDIDI7","pre_survey","1647","11177",,"2019-04-05 01:19:33.273176","dur_start_min","10221"
"A20SXG1DHDIDI7","pre_survey","1647","11178",,"2019-04-05 01:19:33.306282","dur_start_sec","10221"
"A20SXG1DHDIDI7","pre_survey","1647","11179",,"2019-04-05 01:19:33.339733","dur_end_min","10221"
"A20SXG1DHDIDI7","pre_survey","1647","11180",,"2019-04-05 01:19:33.373164","dur_end_sec","10221"
"A20SXG1DHDIDI7","pre_survey","1647","11181","7","2019-04-05 01:19:33.406759","worker_years","10221"
"A20SXG1DHDIDI7","pre_survey","1647","11182","4","2019-04-05 01:19:33.440085","worker_hours","10221"
"A1RC17FXGMK03J","pre_survey","1647","11300","yes","2019-04-05 01:21:31.695298","dur_pref","10222"
"A1RC17FXGMK03J","pre_survey","1647","11301","25","2019-04-05 01:21:31.728291","dur_start_min","10222"
"A1RC17FXGMK03J","pre_survey","1647","11302","10","2019-04-05 01:21:31.761802","dur_start_sec","10222"
"A1RC17FXGMK03J","pre_survey","1647","11303","10","2019-04-05 01:21:31.795030","dur_end_min","10222"
"A1RC17FXGMK03J","pre_survey","1647","11304","5","2019-04-05 01:21:31.862131","dur_end_sec","10222"
"A1RC17FXGMK03J","pre_survey","1647","11305","15","2019-04-05 01:21:31.895594","worker_years","10222"
"A1RC17FXGMK03J","pre_survey","1647","11306","38","2019-04-05 01:21:31.937532","worker_hours","10222"
"A15CCQOQIM1OY8","pre_survey","1648","12396","yes","2019-04-05 02:01:14.667628","dur_pref","10229"
"A15CCQOQIM1OY8","pre_survey","1648","12397","60","2019-04-05 02:01:14.700285","dur_start_min","10229"
"A15CCQOQIM1OY8","pre_survey","1648","12398","00","2019-04-05 02:01:14.725400","dur_start_sec","10229"
"A15CCQOQIM1OY8","pre_survey","1648","12399","60","2019-04-05 02:01:14.750455","dur_end_min","10229"
"A15CCQOQIM1OY8","pre_survey","1648","12400","00","2019-04-05 02:01:14.775572","dur_end_sec","10229"
"A15CCQOQIM1OY8","pre_survey","1648","12401","5","2019-04-05 02:01:14.800684","worker_years","10229"
"A15CCQOQIM1OY8","pre_survey","1648","12402","9","2019-04-05 02:01:14.825850","worker_hours","10229"
"A3LRZX8477TYYZ","pre_survey","1648","12486","no","2019-04-05 12:53:13.175932","dur_pref","10230"
"A3LRZX8477TYYZ","pre_survey","1648","12487","0","2019-04-05 12:53:13.200224","dur_start_min","10230"
"A3LRZX8477TYYZ","pre_survey","1648","12488",,"2019-04-05 12:53:13.225340","dur_start_sec","10230"
